k,accuracy,accuracy_stdev,precision,precision_stdev,f1_score,f1_score_stdev
1,0.691400304414003,0.005274016376235203,0.7161482188635205,0.0072147618091787085,0.6904133691992369,0.005644549747878594
2,0.695300608828006,0.00666431695342938,0.7161054311106324,0.005723395008734668,0.6960642763033035,0.0068183185977650764
5,0.7247907153729072,0.008205128974218908,0.7402696694085024,0.009900117854490865,0.7240638795102888,0.008573437141503082
10,0.7254566210045662,0.014221355634846217,0.7455766728644317,0.011391289774110904,0.7236780601721454,0.014689518635851802
15,0.7298325722983258,0.010539648951025988,0.7539731672571278,0.0042152151574801466,0.7285310743420934,0.010034344727386072
20,0.7328767123287672,0.01372563306109599,0.7599657902970588,0.009649462838445816,0.7316158355532301,0.01359721394258626
30,0.7304033485540334,0.017840233875790285,0.7652460284829147,0.012490536013023489,0.7288879203450312,0.017680043274828812
40,0.7285007610350076,0.01794305039195546,0.765446095059654,0.012452430224892655,0.7258905795249528,0.01830081256071667
50,0.7236491628614916,0.015722694803962826,0.7635036299461151,0.009792567052231412,0.7211944450704783,0.015531930638013525
75,0.7111872146118722,0.018019174220180244,0.7617550472452882,0.008729411169677303,0.7093120012024992,0.01719521210620825
100,0.7049086757990868,0.015110752555645384,0.7622040761732236,0.009552367186869021,0.7030655352531306,0.01541064302665405
